"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2021","80.13","81.58","83.07","77.23","920.72K","-2.02%"
"10/24/2021","81.78","82.64","83.83","79.37","898.01K","-0.87%"
"10/17/2021","82.50","82.00","83.65","79.79","1.91M","0.94%"
"10/10/2021","81.73","79.01","82.00","78.78","1.70M","3.77%"
"10/03/2021","78.76","75.63","79.62","74.67","1.37M","4.21%"
"09/26/2021","75.58","73.83","76.26","72.82","963.09K","2.68%"
"09/19/2021","73.61","71.81","73.86","69.39","1.26M","2.49%"
"09/12/2021","71.82","69.35","72.87","69.26","1.23M","3.38%"
"09/05/2021","69.47","68.90","69.71","67.35","763.98K","0.58%"
"08/29/2021","69.07","68.94","70.31","66.92","583.11K","0.86%"
"08/22/2021","68.48","61.75","68.69","61.50","514.80K","10.20%"
"08/15/2021","62.14","67.63","68.03","61.82","1.68M","-8.90%"
"08/08/2021","68.21","67.62","69.39","65.00","987.84K","0.16%"
"08/01/2021","68.10","73.11","73.19","67.22","977.75K","-7.01%"
"07/25/2021","73.23","71.46","73.52","69.90","525.39K","2.59%"
"07/18/2021","71.38","71.09","71.48","65.01","1.65M","-0.25%"
"07/11/2021","71.56","73.92","74.90","70.16","1.57M","-3.05%"
"07/04/2021","73.81","74.43","76.07","70.10","910.69K","-0.74%"
"06/27/2021","74.36","73.27","75.23","71.28","817.79K","1.40%"
"06/20/2021","73.33","71.15","73.47","70.78","1.54M","2.86%"
"06/13/2021","71.29","70.36","72.74","69.54","1.40M","0.98%"
"06/06/2021","70.60","69.25","70.86","68.29","1.09M","1.74%"
"05/30/2021","69.39","66.45","69.51","66.19","506.34K","4.98%"
"05/23/2021","66.10","63.61","67.28","63.45","806.69K","4.32%"
"05/16/2021","63.36","65.44","67.02","61.36","2.04M","-3.06%"
"05/09/2021","65.36","65.25","66.63","63.12","1.14M","0.74%"
"05/02/2021","64.88","63.48","66.67","62.82","708.72K","2.21%"
"04/25/2021","63.48","62.03","65.32","60.56","621.21K","2.35%"
"04/18/2021","62.02","63.01","64.38","60.55","1.08M","-1.85%"
"04/11/2021","63.19","59.43","63.94","58.77","1.23M","6.47%"
"04/04/2021","59.35","61.48","61.48","57.68","1.01M","-3.46%"
"03/28/2021","61.48","60.94","62.22","58.88","645.75K","0.85%"
"03/21/2021","60.96","61.60","62.04","57.29","1.29M","-0.78%"
"03/14/2021","61.44","65.56","66.44","58.28","2.16M","-6.40%"
"03/07/2021","65.64","66.50","67.79","63.10","1.08M","-0.42%"
"02/28/2021","65.92","61.42","66.23","59.08","945.67K","7.66%"
"02/21/2021","61.23","58.93","63.56","58.82","1.11M","3.32%"
"02/14/2021","59.26","59.83","62.29","58.60","2.02M","-0.20%"
"02/07/2021","59.38","56.95","59.72","56.86","1.04M","4.73%"
"01/31/2021","56.70","51.90","57.11","51.53","801.02K","8.87%"
"01/24/2021","52.08","52.08","53.43","51.75","531.30K","-0.21%"
"01/17/2021","52.19","52.00","53.83","51.38","1.18M","-0.44%"
"01/10/2021","52.42","52.55","53.94","51.51","1.43M","0.31%"
"01/03/2021","52.26","48.49","52.74","47.31","1.14M","7.46%"
"12/27/2020","48.63","48.39","49.07","47.63","253.01K","0.58%"
"12/20/2020","48.35","49.26","49.31","46.25","651.25K","-1.81%"
"12/13/2020","49.24","46.92","49.43","45.88","1.19M","5.33%"
"12/06/2020","46.75","46.24","47.88","45.14","783.07K","0.71%"
"11/29/2020","46.42","45.57","46.80","44.10","542.83K","1.49%"
"11/22/2020","45.74","42.64","46.44","42.52","446.27K","7.83%"
"11/15/2020","42.42","40.44","42.68","40.40","1.39M","5.00%"
"11/08/2020","40.40","37.64","43.33","37.52","1.09M","7.76%"
"11/01/2020","37.49","35.50","39.67","34.04","763.90K","3.71%"
"10/25/2020","36.15","39.98","40.13","35.28","670.27K","-9.96%"
"10/18/2020","40.15","40.92","41.90","39.88","932.30K","-2.36%"
"10/11/2020","41.12","40.72","41.57","39.36","1.24M","0.51%"
"10/04/2020","40.91","37.34","41.74","37.32","1.03M","9.56%"
"09/27/2020","37.34","40.24","41.06","36.93","703.24K","-7.83%"
"09/20/2020","40.51","41.19","41.49","38.87","938.12K","-1.96%"
"09/13/2020","41.32","37.60","41.72","37.12","1.23M","9.75%"
"09/06/2020","37.65","39.86","39.96","36.58","790.23K","-6.23%"
"08/30/2020","40.15","43.30","43.89","39.75","538.33K","-7.25%"
"08/23/2020","43.29","42.72","44.05","42.51","470.47K","1.57%"
"08/16/2020","42.62","42.45","43.29","41.63","1.25M","0.73%"
"08/09/2020","42.31","41.63","43.17","41.43","861.08K","1.98%"
"08/02/2020","41.49","40.70","43.68","39.89","795.24K","2.27%"
"07/26/2020","40.57","41.45","42.12","39.00","568.72K","-2.12%"
"07/19/2020","41.45","40.77","42.51","39.97","1.00M","1.72%"
"07/12/2020","40.75","40.57","41.46","39.31","1.17M","-0.02%"
"07/05/2020","40.76","40.43","41.19","38.77","750.65K","0.00%"
"06/28/2020","40.76","38.12","40.84","37.69","732.14K","5.46%"
"06/21/2020","38.65","39.02","41.74","37.32","848.16K","-2.96%"
"06/14/2020","39.83","36.26","40.60","34.66","1.69M","9.09%"
"06/07/2020","36.51","39.67","40.69","34.74","863.84K","-8.27%"
"05/31/2020","39.80","35.62","39.89","34.65","674.76K","11.05%"
"05/24/2020","35.84","33.77","36.11","31.63","569.15K","6.51%"
"05/17/2020","33.65","29.81","35.05","29.55","1.39M","13.99%"
"05/10/2020","29.52","25.91","29.82","24.79","2.20M","12.80%"
"05/03/2020","26.17","21.87","27.98","20.84","1.98M","17.41%"
"04/26/2020","22.29","21.13","23.40","17.27","2.13M","5.04%"
"04/19/2020","21.22","24.76","24.92","6.50","4.85M","-15.22%"
"04/12/2020","25.03","30.30","30.57","24.57","2.36M","-13.15%"
"04/05/2020","28.82","29.20","33.15","28.13","1.36M","-6.73%"
"03/29/2020","30.90","24.68","31.62","23.31","1.53M","22.86%"
