"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2021","70.49","70.43","71.48","69.39","393.40K","0.50%"
"09/20/2021","70.14","71.81","71.93","69.71","377.95K","-2.34%"
"09/17/2021","71.82","72.33","72.50","71.03","288.46K","-0.76%"
"09/16/2021","72.37","72.42","72.72","71.29","232.72K","0.06%"
"09/15/2021","72.33","70.47","72.87","70.43","268.43K","2.99%"
"09/14/2021","70.23","70.38","70.97","69.75","242.42K","0.06%"
"09/13/2021","70.19","69.35","70.68","69.26","194.03K","1.04%"
"09/10/2021","69.47","67.73","69.71","67.48","199.52K","2.28%"
"09/09/2021","67.92","69.11","69.61","67.35","238.50K","-1.64%"
"09/08/2021","69.05","68.13","69.49","68.08","186.53K","1.35%"
"09/07/2021","68.13","68.90","69.24","67.44","139.43K","-1.36%"
"09/03/2021","69.07","69.51","70.27","68.87","101.34K","-0.95%"
"09/02/2021","69.73","67.99","70.31","67.58","137.71K","2.06%"
"09/01/2021","68.32","68.31","68.98","66.92","124.27K","0.09%"
"08/31/2021","68.26","68.89","69.07","67.92","90.70K","-0.97%"
"08/30/2021","68.93","68.94","69.36","67.53","129.09K","0.66%"
"08/27/2021","68.48","67.47","68.69","67.18","107.41K","2.06%"
"08/26/2021","67.10","67.78","67.97","66.71","102.00K","-1.41%"
"08/25/2021","68.06","67.33","68.23","66.63","107.20K","1.20%"
"08/24/2021","67.25","65.24","67.49","65.15","91.59K","2.92%"
"08/23/2021","65.34","61.75","65.66","61.50","106.60K","5.15%"
"08/20/2021","62.14","63.65","64.04","61.82","365.01K","-2.14%"
"08/19/2021","63.50","64.45","64.57","62.41","494.97K","-2.62%"
"08/18/2021","65.21","66.34","67.23","64.17","386.36K","-1.70%"
"08/17/2021","66.34","67.17","67.46","66.09","232.41K","-1.06%"
"08/16/2021","67.05","67.63","68.03","65.51","205.58K","-1.70%"
"08/13/2021","68.21","68.75","68.99","67.55","145.27K","-1.00%"
"08/12/2021","68.90","69.15","69.39","68.24","182.54K","-0.17%"
"08/11/2021","69.02","68.28","69.19","66.47","223.82K","1.41%"
"08/10/2021","68.06","66.62","68.66","66.29","188.99K","2.65%"
"08/09/2021","66.30","67.62","67.67","65.00","247.22K","-2.64%"
"08/06/2021","68.10","68.77","69.87","67.62","273.91K","-0.93%"
"08/05/2021","68.74","67.64","68.97","67.22","146.62K","1.40%"
"08/04/2021","67.79","69.88","70.31","67.52","243.60K","-3.20%"
"08/03/2021","70.03","70.86","71.29","68.65","174.91K","-0.82%"
"08/02/2021","70.61","73.11","73.19","69.96","138.72K","-3.58%"
"07/30/2021","73.23","72.75","73.52","72.30","97.78K","0.34%"
"07/29/2021","72.98","71.80","73.02","71.66","110.60K","1.66%"
"07/28/2021","71.79","71.36","72.00","71.16","96.97K","0.91%"
"07/27/2021","71.14","71.61","71.76","70.62","114.13K","-0.28%"
"07/26/2021","71.34","71.46","71.71","69.90","105.91K","-0.06%"
"07/23/2021","71.38","70.97","71.48","70.69","73.54K","0.34%"
"07/22/2021","71.14","69.50","71.26","69.11","134.22K","2.26%"
"07/21/2021","69.57","65.86","69.75","65.86","151.83K","3.53%"
"07/20/2021","67.20","66.61","67.61","65.01","561.63K","1.28%"
"07/19/2021","66.35","71.09","71.40","65.56","731.96K","-7.28%"
"07/16/2021","71.56","71.21","72.04","70.16","359.21K","0.25%"
"07/15/2021","71.38","72.43","72.48","71.02","329.01K","-1.73%"
"07/14/2021","72.64","74.58","74.89","71.70","375.43K","-2.74%"
"07/13/2021","74.69","73.51","74.90","73.07","286.33K","1.70%"
"07/12/2021","73.44","73.92","74.15","72.45","221.74K","-0.50%"
"07/09/2021","73.81","72.51","73.98","71.97","185.31K","2.20%"
"07/08/2021","72.22","71.55","72.51","70.10","247.36K","1.01%"
"07/07/2021","71.50","73.00","74.06","70.44","223.71K","-1.49%"
"07/06/2021","72.58","74.43","76.07","72.16","254.31K","-2.39%"
"07/02/2021","74.36","74.07","74.67","73.57","163.67K","0.04%"
"07/01/2021","74.33","72.78","75.23","72.66","289.38K","2.14%"
"06/30/2021","72.77","72.77","73.45","72.10","146.95K","0.64%"
"06/29/2021","72.31","72.04","73.07","71.28","113.12K","0.15%"
"06/28/2021","72.20","73.27","73.70","71.92","104.66K","-1.54%"
"06/25/2021","73.33","72.65","73.40","72.11","144.56K","0.96%"
"06/24/2021","72.63","72.56","72.86","71.64","131.48K","0.37%"
"06/23/2021","72.36","72.10","73.33","72.01","170.19K","-0.67%"
"06/22/2021","72.85","73.04","73.47","72.47","498.56K","-0.37%"
"06/21/2021","73.12","71.15","73.28","70.78","591.31K","2.57%"
"06/18/2021","71.29","70.80","71.82","69.87","420.11K","0.72%"
"06/17/2021","70.78","71.48","72.10","69.54","343.67K","-1.63%"
"06/16/2021","71.95","72.13","72.74","71.42","281.18K","0.13%"
"06/15/2021","71.86","70.91","72.20","70.54","195.70K","1.74%"
"06/14/2021","70.63","70.36","71.40","70.36","163.55K","0.04%"
"06/11/2021","70.60","69.91","70.86","69.47","396.29K","0.73%"
"06/10/2021","70.09","69.61","70.46","68.51","205.08K","0.43%"
"06/09/2021","69.79","69.81","70.43","69.29","168.12K","-0.11%"
"06/08/2021","69.87","69.08","70.08","68.29","166.36K","1.20%"
"06/07/2021","69.04","69.25","69.76","68.71","156.70K","-0.50%"
"06/04/2021","69.39","68.71","69.51","68.12","138.05K","1.15%"
"06/03/2021","68.60","68.59","69.18","67.98","108.64K","-0.04%"
"06/02/2021","68.63","67.80","68.77","67.59","110.81K","1.64%"
"06/01/2021","67.52","66.45","68.64","66.19","148.83K","2.15%"
"05/28/2021","66.10","66.68","67.28","65.95","186.24K","-0.75%"
"05/27/2021","66.60","65.93","66.66","65.23","113.06K","0.97%"
"05/26/2021","65.96","65.75","66.15","65.02","122.47K","0.26%"
"05/25/2021","65.79","65.76","66.18","65.14","229.42K","0.02%"
"05/24/2021","65.78","63.61","65.87","63.45","155.50K","3.82%"
"05/21/2021","63.36","61.73","63.82","61.36","187.39K","2.29%"
"05/20/2021","61.94","63.35","63.95","61.67","524.17K","-2.23%"
"05/19/2021","63.35","65.30","65.35","61.95","615.26K","-3.28%"
"05/18/2021","65.50","66.31","67.02","64.14","484.42K","-1.18%"
"05/17/2021","66.28","65.44","66.42","64.83","229.56K","1.41%"
"05/14/2021","65.36","63.84","65.60","63.35","246.22K","2.38%"
"05/13/2021","63.84","65.78","65.83","63.12","247.68K","-3.42%"
"05/12/2021","66.10","65.44","66.63","64.98","256.70K","1.23%"
"05/11/2021","65.30","64.94","65.51","63.71","195.32K","0.57%"
"05/10/2021","64.93","65.25","66.00","63.96","193.20K","0.08%"
"05/07/2021","64.88","64.86","65.20","63.89","168.37K","0.32%"
"05/06/2021","64.67","65.26","65.93","64.47","117.49K","-1.40%"
"05/05/2021","65.59","66.20","66.67","64.89","187.51K","-0.03%"
"05/04/2021","65.61","64.43","66.12","64.21","148.65K","1.86%"
"05/03/2021","64.41","63.48","64.58","62.82","86.70K","1.47%"
"04/30/2021","63.48","64.76","64.83","63.00","159.45K","-2.16%"
"04/29/2021","64.88","63.59","65.32","63.53","119.35K","1.77%"
"04/28/2021","63.75","62.92","64.37","62.54","127.27K","1.51%"
"04/27/2021","62.80","61.80","63.15","61.80","111.62K","1.62%"
"04/26/2021","61.80","62.03","62.18","60.56","103.53K","-0.35%"
"04/23/2021","62.02","61.56","62.30","61.14","104.73K","1.11%"
"04/22/2021","61.34","61.05","61.79","60.55","99.27K","0.11%"
"04/21/2021","61.27","62.33","62.47","60.79","123.25K","-2.23%"
"04/20/2021","62.67","63.53","64.38","61.49","476.05K","-1.20%"
"04/19/2021","63.43","63.01","63.69","62.67","279.37K","0.38%"
"04/16/2021","63.19","63.35","63.94","62.88","265.80K","-0.50%"
"04/15/2021","63.51","62.97","63.62","62.61","243.64K","0.46%"
"04/14/2021","63.22","60.52","63.51","60.43","318.18K","4.95%"
"04/13/2021","60.24","59.69","60.63","59.69","198.23K","0.82%"
"04/12/2021","59.75","59.43","60.78","58.77","200.51K","0.67%"
"04/09/2021","59.35","59.78","59.94","59.13","207.85K","-0.47%"
"04/08/2021","59.63","59.56","59.93","58.85","232.13K","-0.30%"
"04/07/2021","59.81","59.28","60.06","58.16","193.63K","0.74%"
"04/06/2021","59.37","58.87","60.89","58.66","211.41K","1.18%"
"04/05/2021","58.68","61.48","61.48","57.68","162.51K","-4.55%"
"04/01/2021","61.48","59.48","61.75","58.91","224.08K","3.89%"
"03/31/2021","59.18","60.40","61.17","58.88","145.02K","-2.28%"
"03/30/2021","60.56","61.92","62.22","59.95","134.61K","-1.58%"
"03/29/2021","61.53","60.94","61.74","59.42","142.06K","0.94%"
